word_count,uppercase_ratio,exclamation_count,question_count,sentiment_score,sentiment_extremity,avg_word_length,unique_word_ratio,stock_mention_count,url_count,quote_count,source_credibility,label
372,0.3765810166954853,10,6,-0.7368651481470451,0.7368651481470451,3.469260314537097,0.4525319288108923,8,0,0,0.1968100699299754,1
906,0.06250098391911973,1,2,0.671178262041503,0.671178262041503,5.841803251541593,0.6960774787028339,0,4,1,0.7881410735859272,0
106,0.17730710540683567,4,5,-0.8400518433137381,0.8400518433137381,5.049595571158689,0.5494993965174487,5,2,0,0.24458332162391652,1
205,0.4716909467501545,10,7,-0.7640309529052595,0.7640309529052595,4.064696858899993,0.36189296253063974,4,0,0,0.4338474844648349,1
770,0.008279610728564424,0,3,0.6299064617911989,0.6299064617911989,7.063998040635818,0.887265477322508,0,5,5,0.7623372537223041,0
43,0.8277342805120618,5,4,-0.8301286988872743,0.8301286988872743,5.084750218920994,0.574655184503055,8,2,0,0.2359308629481303,1
78,0.4018345734255509,8,1,-0.62796408459778,0.62796408459778,5.047110837874706,0.38637616039565015,5,1,0,0.16794788065285912,1
152,0.3587424200603866,3,0,-0.9153014401084367,0.9153014401084367,6.019961212181627,0.27743472577505834,2,1,0,0.5325357072719856,1
42,0.8219131690117935,4,1,0.8589633182628538,0.8589633182628538,4.891990172935483,0.5265076874390847,7,0,0,0.5512433043118793,1
136,0.1514899680099728,6,6,-0.9177123080054824,0.9177123080054824,5.249126539361131,0.48504301054904425,6,2,0,0.42033967972908354,1
531,0.06673999126519126,1,3,-0.022345698209415468,0.022345698209415468,8.426759246035084,0.762957175078374,3,5,5,0.8263331688612211,0
267,0.3618097514134588,9,5,0.6244007135590832,0.6244007135590832,6.080987731930728,0.31368542219191264,5,1,0,0.4767634559651031,1
279,0.18611765199019972,7,2,-0.9102764221420345,0.9102764221420345,4.768233004285637,0.35346818120582635,4,2,0,0.2003311362708384,1
34,0.9339126848250191,4,1,0.5815723169611374,0.5815723169611374,4.849849628276789,0.7482381956207438,3,0,0,0.5860852061938295,1
667,0.07581234125732407,0,2,-0.10219729865916849,0.10219729865916849,5.244143883153411,0.7311613340441003,0,0,4,0.5297881306220713,0
146,0.28201883647488,4,2,-0.5921549274820085,0.5921549274820085,5.40737126270679,0.3710201129334383,0,0,0,0.6165260825303835,1
213,0.2673567739028673,2,1,0.549079004681513,0.549079004681513,5.734062971289889,0.3623576518534184,2,1,0,0.5446655326696817,1
