mention_count_1h,mention_count_24h,mention_growth_ratio,bullish_ratio,avg_sentiment,influencer_score,price_change_pct_1h,price_change_pct_24h,volume_spike_ratio,short_interest_ratio,option_volume_spike,hype_score_raw,hour_of_day,label
17.28673857873508,100.0,0.8581057266807637,0.4815581603082795,0.02930187528057061,4.631624223254294,0.008772608797565943,-0.0018520610528507313,1.1258886099038814,0.024125648906148146,1.0219143529458192,30.604172006436272,8,0
100.0,100.0,5.6502699759561885,1.0,0.3839105962693966,100.0,0.2655678563250834,1.4466134941550501,4.215910655315437,0.29377699743436547,4.952282713036222,76.36154105178849,18,2
100.0,100.0,2.903110312036837,0.7565575219548502,0.49829620931709007,100.0,0.42746994749904876,1.5454496346286675,3.068684940624059,0.19941144535139094,2.907992568783585,70.92927609120369,2,2
100.0,100.0,2.30965353368013,0.7302359335265163,0.1879930303233833,100.0,0.04352921175649786,0.14397985698651294,1.1436046549332621,0.07485234057723782,2.0097155649872467,50.96965913498893,19,1
100.0,100.0,3.7236568108739445,1.0,0.4955186598223322,100.0,0.32970678130982634,0.8933971654690605,4.650328166116238,0.2821527144427831,5.035212693029655,91.28486432149512,22,2
39.66667787947698,100.0,1.4354484059172274,0.5339963918970593,-0.05668269451137185,56.67339995510347,-0.006931257837643735,0.05161979556156737,0.7845002234217848,0.06650814924504582,0.8498445675359876,33.95305634865942,12,1
20.0,440.0,0.8691977780766376,0.46277867396039785,-0.09559514693197878,60.084040794508084,0.013086936980827458,0.030872315552470195,1.1456155400350514,0.08852384188596465,0.9489046292766192,31.916032704903046,10,0
80.39162662185439,100.0,1.3543868062624314,0.5601234662655772,0.20075624167523048,100.0,0.0356138009110722,0.40140618842351944,1.6529312621917378,0.20660563933996323,1.0667942770395376,37.19329811263262,22,1
100.0,100.0,7.831307386988643,0.8544194244138347,0.5686676694310104,100.0,0.37918351109462667,2.125221656592009,6.35936013287095,0.3537071447724224,2.5409769368635096,88.7047024628799,3,2
100.0,100.0,10.315406960999608,0.7593863380913222,0.7131601770178881,100.0,0.2673803315589324,0.83254667303382,5.06642786142545,0.5680523001640913,4.790552189529352,85.32701388270635,19,2
18.03212351626586,100.0,0.9158386552818357,0.6777925133135888,-0.1029280766914058,65.3241257919046,0.00854770894022988,-0.06505251978349534,0.9232630150798825,0.08846539324202486,1.1244677701026025,32.797179276632846,15,0
100.0,100.0,2.1556582244678397,0.6546656413919596,0.22580755731117214,100.0,0.006084241921223876,0.07968947329191993,1.5947079610096129,0.19227708924066944,2.0818043262454413,51.71082612468839,23,1
34.23650898679732,100.0,0.9826429360759958,0.6017305395291154,-0.01935696821314554,13.467631956406716,-0.014111377936139882,0.0327918801195188,0.8906623807852572,0.02108718240848023,1.49377924044926,36.05383211103211,15,0
100.0,100.0,1.318740596177484,0.601650180522461,0.22345564511764832,100.0,0.10011591803669466,0.43782505360655377,1.8935146073148053,0.21296577303568137,1.5025897865190063,39.992604843212376,9,1
99.90692245617758,100.0,1.140803821169333,0.5035132305266956,0.2948480979832672,100.0,0.09209459430118247,0.3641311594498501,1.8235405590025993,0.23663094458013698,1.611185196262507,45.22846896965602,19,1
100.0,100.0,3.7154345986127035,0.9439247718184423,0.3904266340266546,100.0,0.22840412395719656,2.0698006659954666,2.8625346436218195,0.35195484083885575,4.504296318173505,69.88106719375348,6,2
13.459074542859202,100.0,0.8628373895974423,0.3370541125222365,-0.012651358784337426,19.021429721493142,0.001074304027261887,-0.038950508877028486,0.8202561837469352,0.03861174796314433,0.6541237566840079,37.639042403348085,10,0
100.0,100.0,1.9480601544783738,0.7257162767555183,0.27501974380373734,81.09177963115395,0.09880484417220241,0.3549450886843158,1.7061945305907125,0.2709533881854665,3.1250837159447613,58.43438234682633,13,1
100.0,100.0,1.866614318936226,0.396542863829906,0.12761380730770175,100.0,0.08131969037696514,0.2500513743909777,2.8530325179587193,0.3009214778067216,1.474215297912788,50.77726123542751,10,1
100.0,100.0,4.080217062189718,1.0,0.46927005146275025,100.0,0.14602551071679526,1.000306387907217,2.5695003776929743,0.41958270137033776,2.489643878490258,84.59510547866688,0,2
63.03504397265104,100.0,1.7920606322559416,0.7799777519190939,0.28135106995670933,100.0,0.13403271770821207,0.15297286184754424,1.2183639181123989,0.09722617008480924,1.2987030669607138,44.35777563392575,19,1
24.17845197028135,100.0,1.3846156035168353,0.4156177090560734,-0.052976231686073974,11.022650831396469,-0.025228526342990474,-0.07888375174609281,0.8540291043137849,0.01852499422695288,0.7917141012396425,35.902232101433725,12,1
100.0,100.0,1.9064056814595678,0.7095773160498533,0.1290858307288982,100.0,0.12758912511706078,0.3491148280027991,2.1374625610219495,0.24444818425448223,2.1691693252143107,45.360355339968194,15,1
100.0,100.0,2.3304261000671804,0.4894365454628467,0.2031333864939596,55.24446113893297,0.04630428887010544,0.2023106879725516,1.7422898644659826,0.08711215038835537,1.3501256719978352,47.385056856158485,11,1
100.0,100.0,1.5717166774175686,0.7631990641517699,0.24439322422205934,100.0,0.08501984822213295,0.25818468270831907,2.245503621614184,0.2659123567062866,2.087925233490677,47.12303615732437,16,1
100.0,100.0,1.1241302274497014,0.8420198495229431,0.42475412293460596,100.0,0.08410887139915892,0.2677773002496232,2.0229754453309163,0.22212107722882088,1.6242129260510485,51.399365646691045,12,1
100.0,100.0,1.4542230659953608,0.7556549387028708,0.4192213429816925,100.0,0.04167218508364487,0.17389335149757912,2.764664613801556,0.08903591807138844,1.7986146559340763,61.0587449512155,14,1
39.36004069651576,100.0,0.9849678637882994,0.3543014723255929,-0.040693892313416614,63.078751749469966,0.021623690219826172,0.04933052014584114,0.9526052888087067,0.05844102942459659,1.0303492773288265,26.288304106511944,13,0
100.0,100.0,4.590936622410642,1.0,0.548911098171329,100.0,0.13561001002602086,0.9723170449061719,4.127546789509991,0.3005810943592866,4.945431987122606,97.42718854354116,6,2
73.43726522158205,100.0,1.7988947502696573,0.8279456042998111,0.44867471884493265,100.0,0.06449516322300437,0.2545701087943365,2.2480553148345637,0.2240432307236937,1.1178262057695951,56.10442455143074,23,1
100.0,100.0,5.467712173132266,0.8394207657183802,0.590239601873907,100.0,0.19334674897564544,0.9686422283444908,4.048189514344563,0.2792250651649444,3.4021890791941756,79.21906809395014,18,2
17.701493268343526,100.0,1.0387470239853447,0.32508944383555766,-0.04224261156835133,6.2324694992856875,-0.012659026582218853,0.013275082502019189,0.5220104167191534,0.10135513486669621,0.8922775974223455,30.155224061999398,14,1
78.43606348296059,100.0,0.9857735381066524,0.5251347744960243,0.3657704704135035,100.0,0.024903234836705552,0.07737722676838248,1.6307684629068113,0.12862912475958505,1.3837747525297088,40.866028774628575,19,1
